Name	Generation	Release date	Weight [g]
iPhone (1st generation)	1	2007-06-29	135
iPhone 3G	2	2008-07-11	133
iPhone 3GS	3	2009-06-19	135
iPhone 4	4	2010-06-24	137
iPhone 4s	5	2011-10-14	140
iPhone 5	6	2012-09-21	112
iPhone 5s	7	2013-09-20	112
iPhone 6	8	2014-09-19	129
iPhone 6s	9	2015-09-25	143
iPhone 7	10	2016-09-16	138
iPhone 8	11	2017-09-22	148
iPhone XR	12	2018-10-26	194
iPhone 11	13	2019-09-20	194
iPhone 12	14	2020-10-23	162
iPhone 13	15	2021-09-24	173
iPhone 14	16	2022-09-16	172
iPhone 15	17	2023-09-22	171
iPhone 16	18	2024-09-20	170
iPhone 17	19	2025-09-19	177