Name	Release date	Weight [g]
Samsung Galaxy S (1st generation)	2010-06-04	119
Samsung Galaxy S II	2011-05-02	116
Samsung Galaxy S III	2012-05-29	133
Samsung Galaxy S4	2013-04-27	130
Samsung Galaxy S5	2014-04-11	145
Samsung Galaxy S6	2015-04-10	138
Samsung Galaxy S7	2016-02-21	152
Samsung Galaxy S8	2017-04-21	155
Samsung Galaxy S9	2018-03-16	163
Samsung Galaxy S10	2019-03-08	157
Samsung Galaxy S20	2020-02-11	163
Samsung Galaxy S21	2021-01-14	169
Samsung Galaxy S22	2022-02-09	167
Samsung Galaxy S23	2023-02-01	168
Samsung Galaxy S24	2024-01-17	168
Samsung Galaxy S25	2025-01-22	162
Samsung Galaxy S26	2026-03-11	167